"url","create_date","title"
"https://github.com/astropy/astropy",2011-07-21,"Main Astropy repository"
"https://github.com/louismullie/stanford-core-nlp",2012-01-30,"Ruby bindings to the Stanford Core NLP tools (English, French, German)."
"https://github.com/CeON/CoAnSys",2012-07-20,"Content Analysis System is a framework for mining scientific publications using Apache Hadoop."
"https://github.com/xuanxu/nimbus",2011-03-12,"Nimbus is a Ruby gem to implement Random Forest algorithms in a genomic selection context"
"https://github.com/vsbuffalo/scythe",2011-02-03,"A 3'-end adapter contaminant trimmer"
"https://github.com/realXtend/doc",2010-11-22,"Auxiliary documentation for the realXtend architecture"
"https://github.com/brandon-rhodes/pyephem",2012-06-25,"Scientific-grade astronomy routines for Python"
"https://github.com/dfm/emcee",2011-11-07,"The Python ensemble sampling toolkit for affine-invariant MCMC"
"https://github.com/weecology/retriever",2011-06-28,"Quickly download, clean up, and install ecological datasets into a database management system"
"https://github.com/elifesciences/lens",2013-06-04,"A novel way of seeing content"
"https://github.com/nzakas/computer-science-in-javascript/",2009-04-12,"Collection of classic computer science paradigms, algorithms, and approaches written in JavaScript. "
"https://github.com/bioruby/bioruby",2008-06-18,"bioruby"
"https://github.com/jandot/ruby-ensembl-api",2008-05-21,"A ruby API to the Ensembl database"
"https://github.com/materialsproject/pymatgen",2011-10-23,"Python Materials Genomics (pymatgen) is a robust materials analysis code that defines core object representations for structures and molecules with support for many electronic structure codes. It is currently the core analysis code powering the Materials Project."
"https://github.com/activepapers/activepapers-python",2013-11-27,"Python edition of ActivePapers"
"https://github.com/SciRuby/sciruby",2011-01-06,"Tools for scientific computation in Ruby/Rails"
"https://github.com/MartinPaulEve/meTypeset",2013-07-05,"meTypeset is a tool to covert from Microsoft Word .docx format to NLM/JATS-XML for scholarly/scientific article typesetting."
"https://github.com/mosaic-data-model/mosaic-python",2013-10-09,"Mosaic Python library"
"https://github.com/cpfaff/Open-Science-Paper",2012-09-08,"Status: Usable (Latest stable version 0.9.2)"
"https://github.com/openmicroscopy/bioformats",2011-10-04,"Bio-Formats is a Java library for reading and writing data in life sciences image file formats. It is developed by the  Open Microscopy Environment (particularly  UW-Madison LOCI and  Glencoe Software). Bio-Formats is released under the  GNU General Public License (GPL); commercial licenses are available from  Glencoe Software. "
"https://github.com/Sage-Bionetworks/rSynapseClient",2012-01-28,"The R programmatic interface to Synapse services"
"https://github.com/harthur/brain",2010-05-10,"Neural networks in JavaScript"
"https://github.com/arfon/fidgit",2013-10-19,"An ungodly union of GitHub and Figshare"
"https://github.com/ramnathv/rCharts",2013-04-10,"Interactive JS Charts from R"
"https://github.com/ajdamico/usgsd",2012-07-04,"Analyze Survey Data for Free with the R Language"
"https://github.com/psychopy/psychopy",2010-09-01,"For running psychology and neuroscience experiments"
"https://github.com/timeu/GWAPP",2012-12-12,"GWAPP "
"https://github.com/PopulationGenetics/amptools",2011-10-10,"Tools for dealing with amplicon experiments"
"https://github.com/arrigonialberto86/ruby-band",2013-09-24,"Machine learning and data mining algorithms for JRuby"
"https://github.com/qbilius/psychopy_ext",2013-03-13,"A framework for a rapid reproducible design, analysis and plotting of experiments in behavioral neuroscience and psychology."
"https://github.com/adarob/eXpress",2013-11-09,"Streaming fragment assignment and quantification for high-throughput sequencing."
"https://github.com/sunpy/sunpy",2011-08-06,"SunPy - Python for solar physics"
"https://github.com/gdevenyi/lattice_matcher",2013-10-10,"Software for calculating epitaxial lattice matches considering symmetries of different crystal systems"
"https://github.com/root-mirror/root",2013-06-27,"Mirror of official ROOT git repository located at "
"https://github.com/svenkreiss/decouple/",2013-12-30,"Decouple and recouple."
"https://github.com/coq/coq",2011-02-17,"Coq is a formal proof management system. It provides a formal language to write mathematical definitions, executable algorithms and theorems together with an environment for semi-interactive development of machine-checked proofs. "
"https://github.com/cbmi/harvest/",2012-10-19,"Harvest CLI and starter project template"
"https://github.com/lintool/twitter-tools",2011-05-14,"Twitter Tools"
"https://github.com/jstjohn/SimSeq",2010-11-24,"An illumina paired-end and mate-pair short read simulator. This project attempts to model as many of the quirks that exist in Illumina data as possible. Some of these quirks include the potential for chimeric reads, and non-biotinylated fragment pull down in mate-pair libraries . Additionally the program provides the ability to model both site and base specific error, and scripts are provided to train this error model on real datasets. My hope in creating this program is to generate as realistic data as possible to assist in assessing the accuracy of genome assembly tools."
"https://github.com/blackrim/treePL",2012-02-15,"Phylogenetic penalized likelihood"
"https://github.com/cloudera/impala",2012-10-18,"Real-time Query for Hadoop"
"https://github.com/cbmi/varify",2013-10-04,"Clinical DNA Sequencing Analysis and Data Warehouse"
"https://github.com/scipy/scipy",2011-03-09,"Scipy main repository"
"https://github.com/imeji-community/Imeji",2012-01-31,"imeji is a scientific multimedia data repository with dedicated metadata management. A detailed description as well as an installation guide and contact informations can be found here:"
"https://github.com/mwoodbri/MRIdb",2013-06-05,"An end-to-end data management system for MRI"
"https://github.com/jeroenjanssens/data-science-toolbox",2013-09-16,"A collection of command-line tools that facilitate the obtaining, scrubbing, and exploring of data."
"https://github.com/biojs/biojs",2013-08-02,"A library of JavaScript components to represent biological data"
"https://github.com/scikit-learn/scikit-learn",2010-08-17,"scikit-learn: machine learning in Python"
"https://github.com/openml/OpenML",2012-12-11,"Open Machine Learning"
"https://github.com/unconed/MathBox.js",2012-11-11,"MathBox is a (work in progress) library for making presentation-quality math diagrams in WebGL."
"https://github.com/wanderine/BROCCOLI/",2013-04-30,"BROCCOLI: An open source multi-platform software for parallel analysis of fMRI data on many-core CPUs and GPUs."
"https://github.com/unidata/thredds",2011-08-01,"Thredds and netCDF-Java (CDM)"
"https://github.com/jeetsukumaran/DendroPy",2009-10-06,"A Python library for phylogenetic scripting, simulation, data processing and manipulation."
"https://github.com/phylogeography/SPREAD",2011-06-02,"Spatial Phylogenetic  Reconstruction of Evolutionary Dynamics"
"https://github.com/mattbierbaum/moshpits",2012-04-16,"a simple nbody for the moshpits project"
